Eligibility ,Sex,Year ,Do you have an UNRWA Registration card? ,Do you live in a camp?, First person in your family to attend university?,UPC Member,What is the type of your school?,Are you on a scholarship at your school?,Current grade 12 stream,Average Grade 10 and 11,English Grade 10,English Grade 11,Have you taken the SAT?,SAT attempts ,"Volunteering,Projects, and More",Travel or here?,Universities in Lebanon,Do you have a sibling who is/was on a ULYP scholarship?,Marital Status of your parents,Is your father employed?,Is your mother employed?,Do any of your siblings work and contribute part of their income to the house?,Is there anyone else helping your family financially?,"Do you, as an applicant, have any Assets/Properties; Land & Property, Saving Accounts, Investments, Others","If you answered yes to the above question, what is the value/amount in LBP?",Do you have a private health insurance?, life scholarship Government,Tomooh,ID,Eligible Age,ConsideredNationality,IncomeVsExpenses,Both Parents work at UNRWA,Majors Check,AcademicEligibility,SAT Category,"Volunteering,Projects, and More perprocessed",Sentiment,Owned Assests Category,volunteering_count,goal_count,confidence_count,believe_count,community_count,giving back_count,academic excellence_count,volunteer_count,leadership_count
No,Female,2021-2022,Yes,No,No,Yes,UNRWA,No,Life Sciences - LS,82.365,0.8,82.5,No,Not provided,"I have volunteered in the past year in “Lana Al Mostakbal” which is an organization for disabled children, which is a very humbling experience and I learned a lot from the children there. I also did some freelance work as I wrote essays for college students. I love to learn new skills and I always try to work on myself as a person whether it be learning a new language, learning new technology skills, in addition to that I frequently try to gain knowledge on medicine art, leadership skills, psychology, and cultures. ",0,"American University of Beirut (AUB), Lebanese American University (LAU)",No,Married,No,No,Yes,No,No,0,No,No,No,443,Eligible,Considered,Income Higher,0,TRUE,1,Low,volunteered past year “ lana al mostakbal ” organization disabled child humbling experience learned lot child also freelance work wrote essay college student love learn new skill always try work person whether learning new language learning new technology skill addition frequently try gain knowledge medicine art leadership skill psychology culture,0.188106061,Nothing,0,0,0,0,0,0,0,1,1
Yes,Male,2021-2022,Yes,No,No,No,Private,No,General Sciences - GS,79.25,0.7116,0.751,Yes,1 time,"I volunteered in Makassed Foundation( kids autism center, drugs rehabilitation center,....)
I participated in Makassed science fair  ",1,"American University of Beirut (AUB), Lebanese American University (LAU)",Yes,Married,Yes,No,No,No,No,0,Yes,No,No,444,Eligible,Considered,Expenses Higher,0,TRUE,1,Avg,volunteered makassed foundation kid autism center drug rehabilitation center participated makassed science fair,0.127272727,Nothing,0,0,0,0,0,0,0,1,0
No,Female,2021-2022,Yes,Yes,No,Yes,UNRWA,No,Sociology and Economy - SE,83.85,75.62,82.2,No,Not provided,"From my childhood I participated in Ghasan Kanafani Foundation which helped me alot to do many campaigns and workshop about too many topics like bulling , smoking , rights etc",0,"American University of Beirut (AUB), Lebanese American University (LAU)",No,Married,No,No,Yes,No,No,0,No,No,No,445,Eligible,Considered,Income Higher,0,TRUE,1,Low,childhood participated ghasan kanafani foundation helped alot many campaign workshop many topic like bulling smoking right etc,0.316964286,Nothing,0,0,0,0,0,0,0,0,0
No,Male,2023-2024,Yes,No,Yes,Yes,UNRWA,No,Life Sciences - LS,83.69,0.7156,76.25,Yes,2 times," I have participated in several projects, and clubs throughout my life. All these experiences gained several skills that helped me and will help me in my future life.
 About eight years ago, I was engaged in an association that focused on improving children in several fields like communication, teamwork, and leadership. This was done every summer, I participated in this project for five consecutive summers. At the end of each summer, I used to be a part of a dance with other friends which we used to perform in front of a big audience. One summer I participated in a play that focused on the impacts of smoking and drugs and I did great in that play. This experience enhanced my self-confidence and promoted my communication and teamwork skills to a great level.
 In addition, I was part of a soccer club which I left to focus on my studies. I loved soccer since I was too young, so I entered that club to improve my skills. At that time I was in a club with my friends who are the same age as me, I used to walk about 15 minutes every day to reach the playground, and sometimes we competed against other clubs in nearby neighborhoods. The priority in the team was teamwork and good communication between that mates to score as many goals in the opposing team's goal as we can.
 Moreover, I was a part of my class soccer team where we participated in the school tournament against other classes and we won the trophy after I scored the decisive penalty kick.
 These various experiences have helped me a lot, especially in my teamwork, communication, and leadership skills. These skills are valuable assets that will assist me in my future life. Thanks for your time and consideration.",0,"American University of Beirut (AUB), Lebanese American University (LAU)",No,Married,Yes,No,No,No,No,0,Yes,No,No,446,Eligible,Considered,Income Higher,1,TRUE,1,High,participated several project club throughout life experience gained several skill helped help future life eight year ago engaged association focused improving child several field like communication teamwork leadership done every summer participated project five consecutive summer end summer used part dance friend used perform front big audience one summer participated play focused impact smoking drug great play experience enhanced selfconfidence promoted communication teamwork skill great level addition part soccer club left focus study loved soccer since young entered club improve skill time club friend age used walk 15 minute every day reach playground sometimes competed club nearby neighborhood priority team teamwork good communication mate score many goal opposing team goal moreover part class soccer team participated school tournament class trophy scored decisive penalty kick various experience helped lot especially teamwork communication leadership skill skill valuable asset assist future life thanks time consideration,0.222754885,Nothing,0,7,2,4,4,0,0,2,2
Yes,Male,2022-2023,Yes,No,No,No,UNRWA,No,Sociology and Economy - SE,82.15,0.828,0.775,No,Not provided,I played with 'fedai team' and participate in many tournaments  ,0,Rafik Hariri University (RHU),Yes,Married,Yes,No,No,No,No,0,No,No,No,447,Eligible,Considered,Expenses Higher,0,TRUE,1,Low,played fedai team participate many tournament,0.253769841,Nothing,1,4,0,0,1,0,0,1,0
Yes,Male,2021-2022,Yes,No,No,No,Private,No,Life Sciences - LS,80,60,70,No,Not provided,I was a volunteer in a workshop called Green fingerprint with Youth for development. The purpose behind such a project was to teach young children the importance of recycling.,1,"American University of Beirut (AUB), Lebanese American University (LAU)",No,Married,Yes,No,No,No,No,0,No,No,No,448,Eligible,Considered,Income Higher,0,TRUE,1,Low,volunteer workshop called green fingerprint youth development purpose behind project teach young child importance recycling,-5.55112E-18,Nothing,0,0,0,0,0,0,0,1,0
Yes,Male,2021-2022,Yes,No,No,No,Private,No,General Sciences - GS,77,0.76,60,Yes,1 time,"managing school festivals at schools,charity ",1,American University of Beirut (AUB),No,Married,No,No,No,No,No,0,No,Done,No,449,Eligible,Considered,Expenses Higher,0,TRUE,1,Low,managing school festival schoolscharity,-0.067045455,Nothing,0,0,0,0,0,0,0,1,0
No,Female,2021-2022,Yes,Yes,Yes,No,Private,No,Life Sciences - LS,63.25,0.6368,0.6039,No,Not provided,"I love many hobbies, including swimming, playing football, and jogging. Also; I like to volunteer in many associations such as the Red Cross, or associations that include people with special needs, or even associations that include orphans. When I was in the eighth grade, the school organized a day devoted to going and spending time with adults of old age in the shelter of the elderly in the Tyre region. It was a wonderful day where we spent our day listening to them and their wonderful old stories. They were very happy of visiting them. Also after a while me and  my colleagues collect beautiful gifts and send them to an association for orphans for the sake of the joys of those people who lost their parents. It is possible at this moment that I felt them and their pain more than my colleagues for losing me and my longing for my father.Also, when I was in the tenth grade, we and the school principal organized that we and the high school classes would go to the beach and cleaned it from the accumulated dirt on it, so we went and spent a beautiful and wonderful day.",1,American University of Beirut (AUB),No,Widowed,No,No,No,No,No,0,No,No,No,450,Eligible,Considered,Expenses Higher,0,TRUE,0,Low,love many hobby including swimming playing football jogging also like volunteer many association red cross association include people special need even association include orphan eighth grade school organized day devoted going spending time adult old age shelter elderly tyre region wonderful day spent day listening wonderful old story happy visiting also colleague collect beautiful gift send association orphan sake joy people lost parent possible moment felt pain colleague losing longing fatheralso tenth grade school principal organized high school class would go beach cleaned accumulated dirt went spent beautiful wonderful day,0.3991133,Nothing,0,0,0,0,0,0,0,2,0
Yes,Female,2022-2023,Yes,No,Yes,No,Public,No,Life Sciences - LS,72.95,0.625,0.775,Yes,2 times,"I started taking drawing classes in 2016 till 2019 in bee skills center in jadra, also sciences club where we make projects and life skills club one of my favorites. I volunteered in tedx lau in planning and setting up the event. I volunteer in jeel organization where we work with orphan kids. I'm also a member of my school's nature club. I also participated in dabkee festival for two years. 
I did a business work shop with enjaz. And photoshop work shop with rafic al hariri university. And did plenty of online courses during quarantine related to psychology and life skills. ",1,"American University of Beirut (AUB), Lebanese American University (LAU)",No,Married,Yes,Yes,No,No,No,0,Yes,No,No,451,Eligible,Considered,Income Higher,0,TRUE,1,Avg,started taking drawing class 2016 till 2019 bee skill center jadra also science club make project life skill club one favorite volunteered tedx lau planning setting event volunteer jeel organization work orphan kid im also member school nature club also participated dabkee festival two year business work shop enjaz photoshop work shop rafic al hariri university plenty online course quarantine related psychology life skill,0.195261314,Nothing,0,3,0,3,0,0,0,2,0
No,Female,2023-2024,Yes,No,Yes,No,Private,No,Life Sciences - LS,88.29,89.5,83.06,No,Not provided,"i was apart of several things over the past few years such as: a campaign to save sea life, cleaning up the beach, forestation, helping at an animals shelter, helping at an elderly center,  working at an art club, competing at a computer programming competition. Away from all the heavy loads of stress that comes with school work I'm a person who enjoys calmness and peacefulness. i value and cherish the time i spend alone to clear my head-space and i also value the time with my family.",1,Beirut Arab University (BAU),No,Married,Yes,No,No,No,No,0,Yes,Done,Done,452,Eligible,Considered,Income Higher,0,TRUE,1,Low,apart several thing past year campaign save sea life cleaning beach forestation helping animal shelter helping elderly center working art club competing computer programming competition away heavy load stress come school work im person enjoys calmness peacefulness value cherish time spend alone clear headspace also value time family,0.169614719,Real Estate,0,0,0,0,1,0,0,0,1
Yes,Female,2021-2022,Yes,Yes,No,No,UNRWA,No,Life Sciences - LS,73.445,0.7406,0.65,No,Not provided,"I've never done any activity of what's mentioned above. I haven't done much in favour of others in my lifetime, yet I might help a friend out from now and then. 

On another note, I'm a very outside the box type of person. My thoughts stray out of what's considered the normal route, and I end up with a weird but creative thinking pattern. This allows me to analyse other people's mentality, which is very beneficial in my opinion. ",0,Lebanese American University (LAU),Yes,Married,Yes,No,No,No,No,0,No,No,No,453,Eligible,Considered,Income Higher,0,TRUE,0,Low,ive never done activity whats mentioned havent done much favour others lifetime yet might help friend another note im outside box type person thought stray whats considered normal route end weird creative thinking pattern allows analyse people mentality beneficial opinion,0.045833333,Physical Assets,0,0,0,0,0,0,0,0,0
Yes,Female,2021-2022,Yes,Yes,No,No,UNRWA,No,Life Sciences - LS,86.745,62.8,55,Yes,1 time,I volunteered with UNRWA to raising student's awareness about the importance of respecting the teacher. ,1,Lebanese American University (LAU),Yes,Married,No,No,No,No,No,0,Yes,No,No,454,Eligible,Considered,Expenses Higher,0,TRUE,1,Avg,volunteered unrwa raising student awareness importance respecting teacher,0.017449495,Nothing,0,0,0,0,0,0,0,1,0
Yes,Female,2021-2022,Yes,Yes,Yes,Yes,UNRWA,No,Life Sciences - LS,88.36,84.68,90,Yes,1 time,"I once joined a three-month Accounting workshop, and I learned so many useful information that are still grasped in memory; it was an amazing experience. I also took a different workshop all focused on using a computer and typing. In the beginning of grade 11, I decided to volunteer in the Palestinian Red Crescent but had to stop because of the sudden lockdown. I realized that I loved sarrounding myself with people more than I thought I did. Learning doesn't stop at what our curriculum and schools offer. We can learn alot from others' experiences and lives. I found that I was consistent and curious to know and learn more.",0,"American University of Beirut (AUB), Lebanese American University (LAU)",No,Married,Yes,No,No,No,No,0,No,No,Done,455,Eligible,Considered,Income Higher,0,TRUE,1,High,joined threemonth accounting workshop learned many useful information still grasped memory amazing experience also took different workshop focused using computer typing beginning grade 11 decided volunteer palestinian red crescent stop sudden lockdown realized loved sarrounding people thought learning doesnt stop curriculum school offer learn alot others experience life found consistent curious know learn,0.205603448,Nothing,0,1,0,1,0,0,0,1,0
No,Male,2021-2022,Yes,Yes,No,No,UNRWA,No,Life Sciences - LS,68.415,0.58125,0.5875,No,Not provided,Make cultural activities with Student Center in my camp ,1,Lebanese American University (LAU),No,Married,Yes,No,No,No,No,0,No,No,No,456,Eligible,Considered,Income Higher,0,TRUE,0,Low,make cultural activity student center camp,0.175,Nothing,0,0,0,0,0,0,0,0,0
Yes,Male,2023-2024,Yes,No,No,No,Private,Yes,General Sciences - GS,89.25,0.80625,0.875,No,Not provided,"As I mentioned in the previous essays that the pandemic and the fact that Palestinians are not permitted to join the red cross were two obstacles that stood in the way of my volunteering spirit. But I still made a few volunteering activities that were not held by any legal organization and I have been always trying to spread a positive impact around my peers.
During the pandemic, my friends and I used to help the elderly, who could not go outside and buy their needs, by buying their needs and make sure they were well sanitized so no harm could be involved in the process and of course it was for free as it was optional to pay as donation.
Last summer, my friends and I always gathered to clean the shore after finishing playing around, swimming, eating, etc. We sectioned every kind of garbage we had and tried to recycle plastic and what was possible between our hands, as for the rest of the garbage we threw them in the nearest bin and finally we made sure that our beautiful beach is clean and we attract more visitors to our wonderful city Sour/ Tyre. Also my friends and I always saved money to donate for the red cross and other organizations whenever we could or when the school welcomes the red cross to accept the students’ donations.
Moving on to spreading a positive impact around my peers. Growing up as a person that loves sports and is athletic, I always made sure my social circle was full of healthy people and by that I mean that they are not addicted to any harmful substances such as alcohol, vape, cigarettes, etc. Lastly, my circle has been always attractive to many people, and we have been always praised by new friends for how healthy and inspiring each one of us is, as we helped many friends going through difficult times and getting through their problems and lastly making sure everyone around is being heard whether it was personal problems or any conflict in general.",1,American University of Beirut (AUB),No,Married,Yes,No,No,No,No,0,No,Done,Done,457,Eligible,Considered,Income Higher,0,TRUE,1,Avg,mentioned previous essay pandemic fact palestinian permitted join red cross two obstacle stood way volunteering spirit still made volunteering activity held legal organization always trying spread positive impact around peer pandemic friend used help elderly could go outside buy need buying need make sure well sanitized harm could involved process course free optional pay donation last summer friend always gathered clean shore finishing playing around swimming eating etc sectioned every kind garbage tried recycle plastic possible hand rest garbage threw nearest bin finally made sure beautiful beach clean attract visitor wonderful city sour tyre also friend always saved money donate red cross organization whenever could school welcome red cross accept student ’ donation moving spreading positive impact around peer growing person love sport athletic always made sure social circle full healthy people mean addicted harmful substance alcohol vape cigarette etc lastly circle always attractive many people always praised new friend healthy inspiring one u helped many friend going difficult time getting problem lastly making sure everyone around heard whether personal problem conflict general,0.162569061,Financial Assets,5,3,0,1,1,0,0,6,1
Yes,Female,2022-2023,Yes,No,Yes,No,Private,Yes,Life Sciences - LS,86.2,0.78,0.87,No,Not provided,"When I was in grade 10, My classmates and I volunteered  in taking the elderly into a trip where we goaled in making them happy. Moreover, we also volunteered into going to slums to help the poor with making them the necessary blood tests.",0,Rafik Hariri University (RHU),No,Married,Yes,No,No,No,No,0,No,No,No,458,Eligible,Considered,Expenses Higher,0,TRUE,1,Low,grade 10 classmate volunteered taking elderly trip goaled making happy moreover also volunteered going slum help poor making necessary blood test,0.125794102,Nothing,0,4,0,3,1,0,0,2,0
Yes,Female,2021-2022,Yes,No,No,No,UNRWA,No,Life Sciences - LS,81.315,78.75,81.25,Yes,1 time,"I rendered a social help with my friends and some teachers from my school by gathering a group of foodstuffs and distributing them to families with low and critical economic situations.I also volunteered with my classmates and worked on rejoicing people of disabilities and special needs by planning an activity that include dancing,eating together,distributing gifts ,and playing enjoyable games such as pulling rope,drawing on face,and so on.",0,"American University of Beirut (AUB), Lebanese American University (LAU)",No,Married,Yes,No,No,No,No,0,No,No,No,459,Eligible,Considered,Income Higher,0,TRUE,1,Avg,rendered social help friend teacher school gathering group foodstuff distributing family low critical economic situationsi also volunteered classmate worked rejoicing people disability special need planning activity include dancingeating togetherdistributing gift playing enjoyable game pulling ropedrawing faceand,0.117361805,Nothing,0,0,0,0,0,0,0,1,0
Yes,Female,2022-2023,Yes,Yes,Yes,Yes,UNRWA,No,Life Sciences - LS,86.085,0.875,0.83125,Yes,2 times,"Empathy seems to come naturally and I have a deep insight into human nature and I care about my community benifits and I take notice to influence poeple around me this make me distinguished and loved from my surrounding . As a result I choose to volunteer with band aid , and cleaning of neighbourhood regularly to keep our environment clean and renew life in the region we live in.  On top of what preceeded I participate in different workshops: Anxiety and stress management online workshop on 5 August 2021 ,  self-confidence online 13 August 2021 and get certificates from LAP after I finished attending these courses. It is worth to mention that I'm a UPC student that luckily completed two modules by 13 September 2021 and back in 2017 I joined Math 4 success  program with ULYP and initiate my game additionally I get a participation certificate . Lately I participated in a beneficial two months workshop from 10/10/2021 till 12/12/2021 photographing and photoshop with jana kanaan and it was a great experience to know how to  capture  memories,  fascinating nature and artistic pictures and I learned a new language that I  can through it delivere a message.  Outside the walls of my school I regularly engage in events to open the door for my new ideas to flow , last week I joined entrepreneurship symposium and the launch of the campaign of initiative employment and project programs formulated by NICEF  .I've heard  many complaints from my surrounding  especially my friends  that call me the optimistic butterfly  which I really enjoy having a good  impact on them. In school I could show how intelligent and creative am I in doing projects,  I remember my physics teacher gave me 6/5 one mark over the full one for my "" manual hoist "" also miss sabreen the English teacher published my vedio about Covid-19 pandemic project on her YouTube channel  and described me as extraordinary and outstanding student , which motivated me to give more . I'm literally trying to control my self , so with this life full of distraction I challenged myself to quit social media completely and I really succeed in this and notice great improvement .For example I learned driving car and I'll be getting the licence soon in this summer.  To sum up I try my best to avoid ordinary because it's boring and I promise myself to stay unique,  renewed and independent to prove my identity in life  outside academic work .",1,"American University of Beirut (AUB), Lebanese American University (LAU)",No,Married,Yes,No,No,Yes,No,0,No,No,No,460,Eligible,Considered,Income Higher,0,TRUE,1,Avg,empathy seems come naturally deep insight human nature care community benifits take notice influence poeple around make distinguished loved surrounding result choose volunteer band aid cleaning neighbourhood regularly keep environment clean renew life region live top preceeded participate different workshop anxiety stress management online workshop 5 august 2021 selfconfidence online 13 august 2021 get certificate lap finished attending course worth mention im upc student luckily completed two module 13 september 2021 back 2017 joined math 4 success program ulyp initiate game additionally get participation certificate lately participated beneficial two month workshop 10102021 till 12122021 photographing photoshop jana kanaan great experience know capture memory fascinating nature artistic picture learned new language delivere message outside wall school regularly engage event open door new idea flow last week joined entrepreneurship symposium launch campaign initiative employment project program formulated nicef ive heard many complaint surrounding especially friend call optimistic butterfly really enjoy good impact school could show intelligent creative project remember physic teacher gave 65 one mark full one manual hoist also miss sabreen english teacher published vedio covid19 pandemic project youtube channel described extraordinary outstanding student motivated give im literally trying control self life full distraction challenged quit social medium completely really succeed notice great improvement example learned driving car ill getting licence soon summer sum try best avoid ordinary boring promise stay unique renewed independent prove identity life outside academic work,0.178698347,Nothing,1,0,1,2,3,0,0,2,0
No,Male,2021-2022,Yes,Yes,Yes,No,UNRWA,No,Life Sciences - LS,60.82,0.415,0.13,No,Not provided,"I participated in a theatrical work that talks about the disadvantages of work for young children and the importance of studying , and i participated in sports tournaments , and always love to participate in volunteer work that benifits the community ",1,American University of Beirut (AUB),No,Married,Yes,Yes,No,No,No,0,No,No,No,461,Eligible,Considered,Income Higher,0,TRUE,0,Low,participated theatrical work talk disadvantage work young child importance studying participated sport tournament always love participate volunteer work benifits community,0.358333333,Nothing,0,0,0,0,1,0,0,1,0
No,Female,2023-2024,Yes,No,No,No,Public,No,Life Sciences - LS,57.25,0.55625,58.125,Yes,1 time,"Joining iCademy was a plot twist in my life, as because of volunteering it came to my mind that I feel myself and be myself when I help people. It is the journey I went through from the day I joined the first nutrition workshop as a student to having to lead a whole team for iCademy's Podcast, (iCast). I have volunteered in so many positions both at iCademy and in other NGOs and social enterprises, and this has made me gain a great skillset for the person I am becoming. As well as the MUN experience I had at Brummana high school boosted my public speaking abilities and skills. I took courses in entrepreneurship at ShababLab and attended many workshops (nutrition, psychology, first aid, leadership and team work...) to elevate my skills. I have also gained hosting skills and video-audio editing skills in the podcast, in addition to meeting people worldwide and having conversations with them. I am also a volunteer at Abnaa Saida, ans we are taking a lot of trainings in SDGs and stuff. I was also an intern at Aquatricity for SDG 6 and 14, as we prepared 100 questions as research interns. I have also been an intern at SAID NGO, in the social media team, which gave me good experience in  both social media algorithms and  colon cancer awareness. I have also gained marketing and pitching skills from both my volunteering and my online page on instagram. I am now a leader and an HR for my podcast under iCademy, with the help of iCademy's HR we are now recruiting new volunteers, and I am managing the team. All of these experiences have made me realise the importance of team work and by that,I am now a very flexible, responsible, and hard-working person. I love being involved in extracurricular activities, achieving success outside our schools is also crucial and being entrepreneurs since we are still in school and under the age of 18 is super needed and I encourage everyone to start their journey as entrepreneurs and leaders at a young age. I am just like every team mate i have at iCademy, and i don't think being a founder of a podcast, writing on my page and my volunteering positions will make me that special out side of my school. But it is the uncontrollable feeling of being special -at least in our finger print- , it is the uncontrollable feeling of knowing that I will for sure, someday leave a print in someone's heart and mind. It is believing that my biological print isn't only biological, and it will reach someone, someday, even if not through this application. But I will for sure be special, not only out side the school, but in every place I might be at. ",0,"American University of Beirut (AUB), Lebanese American University (LAU), Beirut Arab University (BAU)",No,Married,Yes,No,No,No,No,0,Yes,Done,Done,462,Eligible,Considered,Income Higher,0,TRUE,0,Avg,joining icademy plot twist life volunteering came mind feel help people journey went day joined first nutrition workshop student lead whole team icademys podcast icast volunteered many position icademy ngo social enterprise made gain great skillset person becoming well mun experience brummana high school boosted public speaking ability skill took course entrepreneurship shabablab attended many workshop nutrition psychology first aid leadership team work elevate skill also gained hosting skill videoaudio editing skill podcast addition meeting people worldwide conversation also volunteer abnaa saida an taking lot training sdgs stuff also intern aquatricity sdg 6 14 prepared 100 question research intern also intern said ngo social medium team gave good experience social medium algorithm colon cancer awareness also gained marketing pitching skill volunteering online page instagram leader hr podcast icademy help icademys hr recruiting new volunteer managing team experience made realise importance team work thati flexible responsible hardworking person love involved extracurricular activity achieving success outside school also crucial entrepreneur since still school age 18 super needed encourage everyone start journey entrepreneur leader young age like every team mate icademy dont think founder podcast writing page volunteering position make special side school uncontrollable feeling special least finger print uncontrollable feeling knowing sure someday leave print someone heart mind believing biological print isnt biological reach someone someday even application sure special side school every place might,0.224392747,Nothing,4,1,0,2,1,0,0,9,1
Yes,Female,2021-2022,Yes,Yes,Yes,Yes,UNRWA,No,Life Sciences - LS,89.915,0.7218,0.775,Yes,1 time,I participated in  Palestine Red crescent to study first aid .,1,"American University of Beirut (AUB), Lebanese American University (LAU)",No,Married,No,No,No,No,No,0,No,No,No,464,Eligible,Considered,Expenses Higher,0,TRUE,1,Avg,participated palestine red crescent study first aid,0.150378788,Nothing,0,0,0,0,0,0,0,0,0
Yes,Female,2021-2022,Yes,No,No,Yes,UNRWA,No,Life Sciences - LS,83.425,75,72.5,Yes,1 time,"Through ( Al-Jana center ) I have participated in : reading and chess club  , two campaigns against covid-19 ,workshop about robotics and Arduino  and attend 48 hours of SOFT LIFE SKILLS WORKSHOP , and I went to the area of the explosion of Beirut Port and helped Lebanese people in collecting the debris and the broken glass , cleaning houses ,and distributing food along 6 days. Through NABA'A ( development action without borders ) : I have participated 16 days in al Chouf and Saida areas as a volunteer in “ Enhanced Families and service providers Capacities to promote safe Motherhood and empower women and girls in Lebanon ” project for implementing the events of Youth day . , also , I participated in the European Union funded project Skills4Life in 2014 included ( sports , music , financial literacy , conflict resolution , art and drama ) . Otherwise , I have been  successfully completed the INJAZ Lebanon ""Personal Economics"" ,and participated in ""Together Let's Code "" program with Unite Lebanon Youth Project .Furthermore, I completed  the Mobile Application Development Training Program at STC .Besides, We have organized the clothes ,shoes , food , medical care ....that have arrived from America (donation) and classified them then distributed to the needed people  .In addition We are a simple girls group called ALWAN that  established this group with a goal of helping children  especially orphans and elderly.  Also to all of that, I joined JEEL association after the Beirut explosion; we distributed food and set up ??? ???? that includes clothes distribution for poor.",0,"American University of Beirut (AUB), Lebanese American University (LAU), Rafik Hariri University (RHU)",No,Married,Yes,No,No,No,No,0,No,No,No,465,Eligible,Considered,Expenses Higher,0,TRUE,1,Avg,aljana center participated reading chess club two campaign covid19 workshop robotics arduino attend 48 hour soft life skill workshop went area explosion beirut port helped lebanese people collecting debris broken glass cleaning house distributing food along 6 day nabaa development action without border participated 16 day al chouf saida area volunteer “ enhanced family service provider capacity promote safe motherhood empower woman girl lebanon ” project implementing event youth day also participated european union funded project skills4life 2014 included sport music financial literacy conflict resolution art drama otherwise successfully completed injaz lebanon personal economics participated together let code program unite lebanon youth project furthermore completed mobile application development training program stc besides organized clothes shoe food medical care arrived america donation classified distributed needed people addition simple girl group called alwan established group goal helping child especially orphan elderly also joined jeel association beirut explosion distributed food set ??? ???? includes clothes distribution poor,0.148667712,Nothing,0,1,0,1,1,0,0,1,0
No,Female,2023-2024,No,No,Yes,No,Private,No,Life Sciences - LS,88.15,0.70025,0.81275,Yes,2 times,"I participated in a scout for around 2 months.It was an amazing experience.I learnt the basis of scouts,how was it established,and the goal of the scouts.I helped the leader,taught the kids,and more.
Moreover,I participated in the Earth Prize Competition where My group and I tried  to find a way to save the Environment which in turn can create a healthy environment for living things where mission was accomplished.This experience was incredible since I spent days and overnights for researches and new studies and group working .The project was about saving the environment from the glasses and their pollution where we  covered several topics including the financials,customers,and the impact of the project.
I also participated in International Women’s day organized by the UK Embassy.In this project,I presented women’s rights and how can women fight to take these rights fair enough.
Moreover,I participated in a swimming competition around 5 years ago in my school and I was ranked the second .
My passion in math lead me also to participate in UCMAS competitions where I was ranked the first in my class and it was a big challenge.
I also participated in Spelling Bee competition which needs patience and concentration as well as participating in several international days.
My passion in sewing also lead to me to participate in a workshop teaching the basics of Crochet and this workshop helped me doing several innovative ideas.
As a volunteering activity,my friends and I went to an orphanage were we played with the kids,we gave them some toys,and we stayed the rest of the day having fun with them.It was an amazing experience.I learnt a lot from them.I learnt that even if you live difficult circumstanes,you should smile and after a long night there’s always a bright day.Everyone of them has a different story that would make you cry.HOWEVER VAST THE DARKNESS,WE MUST SUPPLY OUR OWN LIGHT.",0,American University of Beirut (AUB),No,Married,Yes,No,No,No,No,0,No,Done,Done,466,Eligible,Not Considered,Expenses Higher,0,TRUE,1,Avg,participated scout around 2 monthsit amazing experiencei learnt basis scoutshow establishedand goal scoutsi helped leadertaught kidsand moreoveri participated earth prize competition group tried find way save environment turn create healthy environment living thing mission accomplishedthis experience incredible since spent day overnights research new study group working project saving environment glass pollution covered several topic including financialscustomersand impact project also participated international woman ’ day organized uk embassyin projecti presented woman ’ right woman fight take right fair enough moreoveri participated swimming competition around 5 year ago school ranked second passion math lead also participate ucmas competition ranked first class big challenge also participated spelling bee competition need patience concentration well participating several international day passion sewing also lead participate workshop teaching basic crochet workshop helped several innovative idea volunteering activitymy friend went orphanage played kidswe gave toysand stayed rest day fun themit amazing experiencei learnt lot themi learnt even live difficult circumstanesyou smile long night ’ always bright dayeveryone different story would make cryhowever vast darknesswe must supply light,0.228538645,Real Estate,1,4,1,0,5,0,0,2,0
Yes,Female,2021-2022,Yes,Yes,Yes,Yes,UNRWA,No,Life Sciences - LS,85.4,0.7375,0.6875,Yes,1 time,"1- I joined Haifa football Club for two years.
2- I joined Al Qadisiyah  scout for 5 years.
3- I volunteered with the Arabic Palestinian Cultural Club (APCC) to feed needy families during Ramadan.
4- I took a first aid course at the school with the Lebanese Red Cross.
5- I took a course in a photojournalism workshop (UNRWA).",1,"American University of Beirut (AUB), Lebanese American University (LAU)",No,Married,No,No,No,Yes,No,0,No,No,No,467,Eligible,Considered,Expenses Higher,0,FALSE,1,Avg,1 joined haifa football club two year 2 joined al qadisiyah scout 5 year 3 volunteered arabic palestinian cultural club apcc feed needy family ramadan 4 took first aid course school lebanese red cross 5 took course photojournalism workshop unrwa,0.247974308,Nothing,0,0,0,0,0,0,0,1,0
